frame,obj_cls,obj_id,x,y,w,h
14,0,5,682.57263,318.35565,116.355286,116.43613
14,0,6,642.04956,623.183,81.941345,163.73712
14,0,7,76.995445,428.58044,151.3636,77.85202
14,0,8,880.55237,653.04944,79.01483,133.90106
14,0,9,1050.642,260.30823,64.78058,152.95053
15,0,1,930.7731,272.08817,70.02045,142.37126
15,0,2,572.1671,355.05765,120.78528,117.28674
15,0,3,1052.5277,582.44006,148.20654,106.99866
15,0,4,575.7722,91.83147,146.43805,76.98685
15,0,5,682.63684,318.31204,116.229004,116.201294
15,0,6,642.2662,622.9331,81.974365,163.2248
15,0,7,77.05476,428.55585,151.27838,77.832306
15,0,8,880.6997,652.97754,78.997314,134.04486
15,0,9,1051.2958,260.6511,65.10834,152.26685
16,0,1,930.74243,272.1265,70.144104,142.27928
16,0,2,572.05066,355.1894,120.70328,117.1022
16,0,3,1052.4679,582.4392,148.4148,106.94061
16,0,4,575.9434,91.83169,146.17459,76.97023
16,0,5,682.66504,318.298,116.23407,116.10437
16,0,6,642.3416,622.8435,82.15442,163.04755
16,0,7,77.06385,428.5471,151.23228,77.833435
16,0,8,880.7527,652.95166,78.93268,134.09674
16,0,9,1051.5276,260.7727,65.576355,152.01782
17,0,1,930.7445,272.12628,70.29376,142.27116
17,0,2,572.00793,355.2237,120.74121,117.04068
17,0,3,1052.4586,582.41846,148.71747,106.97174
17,0,4,575.9896,91.83418,145.93207,76.95489
17,0,5,682.6699,318.2901,116.29828,116.07416
17,0,6,642.36694,622.81433,82.37506,162.98956
17,0,7,77.06459,428.5442,151.19418,77.83743
17,0,8,880.77,652.94324,78.85443,134.11353
17,0,9,1051.6003,260.8188,66.06659,151.92375
18,0,1,930.7171,272.08173,70.41052,142.19826
18,0,2,571.9344,355.11688,120.636475,116.80252
18,0,3,1052.3978,582.4957,148.844,106.87579
18,0,4,576.02045,91.816284,145.76651,76.971375
18,0,5,682.67035,318.2968,116.390015,116.09131
18,0,6,642.4071,622.79425,82.6142,163.02966
18,0,7,77.09309,428.58484,150.96535,77.731415
18,0,8,880.8109,652.93384,78.77893,134.13232
18,0,9,1051.6815,260.8343,66.57831,151.96246
19,0,1,930.70874,272.06616,70.54474,142.1901
19,0,2,571.8218,355.02774,120.59781,116.59863
19,0,3,1052.3687,582.52515,149.03528,106.8432
19,0,4,576.03076,91.828804,145.55722,76.95299
19,0,5,682.6737,318.28882,116.47809,116.110596
19,0,6,642.44055,622.7926,82.84546,163.10883
19,0,7,77.14582,428.62274,150.80635,77.64783
19,0,8,880.8323,652.9286,78.70477,134.14282
19,0,9,1051.6692,260.83768,67.0296,151.97047
20,0,1,930.68774,272.07123,70.65393,142.14984
20,0,2,571.97174,355.11386,120.82364,116.74536
20,0,3,1052.3743,582.5344,149.24426,106.836975
20,0,4,576.01697,91.828064,145.42938,76.971436
20,0,5,682.68176,318.29852,116.56854,116.14102
20,0,6,642.43726,622.8198,83.0022,163.05804
20,0,7,77.16224,428.63654,150.73613,77.60928
20,0,8,880.8329,652.91034,78.65228,134.17932
20,0,9,1051.6411,260.8243,67.45172,152.01471
21,0,1,930.3123,272.20917,70.727905,141.84933
21,0,2,570.6238,356.14984,119.55002,115.20749
21,0,3,1052.0947,581.6786,147.50214,105.17975
21,0,4,578.3452,92.08311,144.83853,76.96898
21,0,5,682.83826,317.9386,116.11603,115.74362
21,0,6,644.2438,621.11566,82.40369,160.2666
21,0,7,77.5035,428.784,150.81554,77.675415
21,0,8,880.9584,652.8259,78.65985,134.3482
21,0,9,1052.6102,261.12442,67.704895,150.98256
22,0,1,930.1677,272.26312,70.88214,141.7525
22,0,2,570.1158,356.54626,119.20529,114.59097
22,0,3,1051.924,581.4115,146.99042,104.442505
22,0,4,579.2085,92.164444,144.36163,77.00528
22,0,5,682.90063,317.80847,115.90631,115.58298
22,0,6,644.9236,620.47437,82.61212,159.22357
22,0,7,77.62186,428.8439,150.8736,77.73309
22,0,8,881.0066,652.79504,78.612976,134.40997
22,0,9,1052.9703,261.22614,68.17694,150.5867
23,0,1,930.11664,272.27966,71.0542,141.72853
23,0,2,569.93286,356.68588,119.243866,114.368164
23,0,3,1051.8577,581.3214,147.08405,104.17255
23,0,4,579.51917,92.19948,143.8628,77.00134
23,0,5,682.9203,317.75598,115.802795,115.5228
23,0,6,645.1673,620.2478,83.096436,158.85193
23,0,7,77.66552,428.88086,150.91716,77.784546
23,0,8,881.0228,652.784,78.55011,134.432
23,0,9,1053.0977,261.26508,68.704834,150.44586
24,0,1,930.1021,272.28314,71.21802,141.72203
24,0,2,569.87463,356.73053,119.41144,114.29208
24,0,3,1051.8413,581.29834,147.38354,104.078186
24,0,4,579.61346,92.21112,143.41629,77.00211
24,0,5,682.9261,317.74237,115.75842,115.51907
24,0,6,645.2447,620.1748,83.649414,158.73248
24,0,7,77.67652,428.91302,150.97673,77.847626
24,0,8,881.0244,652.78174,78.48334,134.43658
24,0,9,1053.1323,261.2645,69.22266,150.40015
25,0,1,930.1105,272.28137,71.36505,141.71368
25,0,2,569.8643,356.72107,119.64169,114.30014
25,0,3,1051.8425,581.27985,147.76624,104.07251
25,0,4,579.6366,92.21829,143.00226,76.99768
25,0,5,682.9282,317.73926,115.725586,115.523834
25,0,6,645.2628,620.15894,84.195496,158.70734
25,0,7,77.68031,428.951,151.06021,77.927765
25,0,8,881.022,652.7844,78.41699,134.43115
25,0,9,1053.1307,261.2727,69.71124,150.40604
26,0,1,930.11743,272.27765,71.488464,141.686
26,0,2,569.8193,356.67535,119.77664,114.210266
26,0,3,1051.825,581.2711,148.15869,104.1015
26,0,4,579.63513,92.22749,142.64502,77.00271
26,0,5,682.9269,317.74908,115.68207,115.50992
26,0,6,645.2655,620.1797,84.7027,158.71039
26,0,7,77.672615,428.96667,151.16118,78.0253
26,0,8,881.0385,652.7666,78.37744,134.46686
26,0,9,1053.1191,261.25043,70.1698,150.44388
27,0,1,930.0112,272.42633,71.58942,141.65894
27,0,2,569.3247,357.0597,119.76935,113.973206
27,0,3,1051.4062,581.2992,148.55078,104.042175
27,0,4,580.4556,92.293884,142.20108,77.020996
27,0,5,682.9378,318.05927,115.94287,115.90915
27,0,6,646.42255,619.142,84.46655,156.51672
27,0,7,77.82053,428.98495,151.65123,78.361206
27,0,8,881.12537,652.7329,78.33099,134.53418
27,0,9,1053.0422,261.05875,70.4306,150.26427
28,0,1,929.97363,272.49457,71.68982,141.65189
28,0,2,569.1444,357.1991,119.90994,113.89963
28,0,3,1051.2661,581.3086,148.97571,104.03485
28,0,4,580.7552,92.32533,141.76236,77.01599
28,0,5,682.9402,318.17453,115.96405,116.056946
28,0,6,646.84863,618.7608,84.872986,155.70935
28,0,7,77.87577,428.98376,151.7838,78.50943
28,0,8,881.1581,652.7226,78.26593,134.55481
28,0,9,1052.978,260.99768,70.721924,150.24298
29,0,1,929.9558,272.50662,71.77551,141.63635
29,0,2,569.0851,357.24603,120.08417,113.877686
29,0,3,1051.2125,581.32336,149.35785,104.02496
29,0,4,580.85004,92.34854,141.32462,76.98651
29,0,5,682.93933,318.2185,115.90643,116.11383
29,0,6,646.9972,618.6279,85.48865,155.44043
29,0,7,77.885765,428.98175,151.73592,78.556305
29,0,8,881.1574,652.71826,78.20056,134.56348
29,0,9,1052.9377,260.96695,70.97345,150.19618
30,0,1,929.9361,272.52554,71.889404,141.65508
30,0,2,569.0121,357.2297,120.11536,113.71228
30,0,3,1051.257,581.2848,149.78644,104.07196
30,0,4,580.85986,92.36461,140.87778,76.928474
30,0,5,682.9863,318.24512,115.774414,116.10425
30,0,6,646.9902,618.54755,86.14368,155.36255
30,0,7,77.90248,429.02588,151.88632,78.71463
30,0,8,881.18134,652.70184,78.15381,134.59631
30,0,9,1052.8522,261.1654,71.302734,150.31442
31,0,1,929.9484,272.47662,71.896484,141.47713
31,0,2,568.64276,357.42764,120.02396,113.38165
31,0,3,1051.3302,581.1867,150.0003,103.98462
31,0,4,581.22424,92.41524,140.39069,76.86917
31,0,5,683.00146,318.3989,115.74829,116.22571
31,0,6,647.3233,618.2591,86.49292,154.59961
31,0,7,77.8944,429.05286,151.72838,78.70175
